Partner;Dependents;tenure;PhoneService;InternetService;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Date;Treatment
Yes;No;72;No;DSL;Two year;No;Automatic; 42,10;2962,00;0;2014-05-18;0
Yes;Yes;18;Yes;DSL;One year;Yes;Automatic; 54,40; 957,10;0;2018-10-24;1
No;No; 9;Yes;Fiber optic;Month-to-month;No;Electronic check; 94,40; 857,25;1;2019-07-21;0
No;No; 3;Yes;DSL;Month-to-month;Yes;Electronic check; 75,30; 244,10;0;2020-01-17;1
Yes;No;47;Yes;Fiber optic;One year;Yes;Electronic check; 78,90;3650,35;0;2016-06-06;1
No;No;31;Yes;DSL;Two year;No;Mailed check; 79,20;2497,20;0;2017-09-29;1
Yes;Yes;50;Yes;No;Two year;No;Automatic; 20,15; 930,90;0;2016-03-08;0
No;No;10;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 79,85; 887,35;0;2019-06-21;1
No;No; 1;Yes;DSL;Month-to-month;No;Mailed check; 49,05;  49,05;0;2020-03-17;0
Yes;Yes;52;Yes;No;One year;Yes;Electronic check; 20,40;1090,65;0;2016-01-08;0
Yes;Yes;64;Yes;Fiber optic;Two year;Yes;Automatic;111,60;7099,00;0;2015-01-13;0
Yes;Yes;62;Yes;No;Two year;Yes;Automatic; 24,25;1424,60;0;2015-03-14;0
No;Yes; 3;Yes;DSL;Month-to-month;Yes;Automatic; 64,50; 177,40;0;2020-01-17;0
No;No;56;Yes;Fiber optic;One year;No;Electronic check;110,50;6139,50;0;2015-09-10;0
No;No;46;Yes;DSL;One year;No;Automatic; 55,65;2688,85;0;2016-07-06;0
Yes;Yes; 8;Yes;DSL;Month-to-month;No;Mailed check; 54,65; 482,25;0;2019-08-20;0
No;No;30;Yes;DSL;Month-to-month;Yes;Electronic check; 74,75;2111,30;0;2017-10-29;0
Yes;Yes;45;Yes;No;One year;Yes;Automatic; 25,90;1216,60;0;2016-08-05;0
No;Yes; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 79,35;  79,35;1;2020-03-17;1
Yes;Yes;11;No;DSL;Month-to-month;No;Electronic check; 50,55; 565,35;0;2019-05-22;1
Yes;No; 7;Yes;Fiber optic;Month-to-month;Yes;Automatic; 75,15; 496,90;1;2019-09-19;0
No;No;42;Yes;Fiber optic;Month-to-month;Yes;Automatic;103,80;4327,50;0;2016-11-03;1
Yes;No;49;Yes;No;Two year;Yes;Automatic; 20,15; 973,35;0;2016-04-07;0
No;No; 9;Yes;Fiber optic;Month-to-month;Yes;Automatic; 99,30; 918,75;0;2019-07-21;0
Yes;No;35;Yes;DSL;One year;Yes;Automatic; 62,15;2215,45;0;2017-06-01;0
Yes;Yes;48;Yes;No;Two year;No;Automatic; 20,65;1057,00;0;2016-05-07;1
Yes;Yes;46;Yes;No;Two year;Yes;Mailed check; 19,95; 927,10;0;2016-07-06;0
Yes;No;29;No;DSL;Month-to-month;No;Mailed check; 33,75;1009,25;0;2017-11-28;0
Yes;Yes;30;Yes;Fiber optic;Month-to-month;No;Automatic; 82,05;2570,20;0;2017-10-29;1
No;No; 1;Yes;Fiber optic;Month-to-month;No;Electronic check; 74,70;  74,70;0;2020-03-17;1
Yes;Yes;66;Yes;DSL;Two year;Yes;Mailed check; 84,00;5714,25;0;2014-11-14;1
No;No;65;Yes;Fiber optic;Month-to-month;Yes;Automatic;111,05;7107,00;0;2014-12-14;1
No;No;72;Yes;Fiber optic;Two year;Yes;Automatic;100,90;7459,05;0;2014-05-18;1
No;No;12;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 78,95; 927,35;1;2019-04-22;0
Yes;Yes;71;Yes;DSL;One year;Yes;Automatic; 66,85;4748,70;0;2014-06-17;1
No;No; 5;Yes;No;Month-to-month;No;Mailed check; 21,05; 113,85;1;2019-11-18;0
No;No;52;Yes;No;Two year;No;Automatic; 21,00;1107,20;0;2016-01-08;1
Yes;No;25;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 98,50;2514,50;1;2018-03-28;1
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 20,20;  20,20;0;2020-03-17;1
Yes;Yes; 1;Yes;No;Month-to-month;No;Electronic check; 19,45;  19,45;0;2020-03-17;0
No;No;38;Yes;Fiber optic;One year;No;Automatic; 95,00;3605,60;0;2017-03-03;0
Yes;No;66;No;DSL;One year;No;Automatic; 45,55;3027,25;0;2014-11-14;0
Yes;No;68;Yes;Fiber optic;Two year;Yes;Automatic;110,00;7611,85;1;2014-09-15;1
No;No; 5;No;DSL;Month-to-month;No;Mailed check; 24,30; 100,20;0;2019-11-18;0
Yes;Yes;72;Yes;Fiber optic;One year;Yes;Electronic check;104,15;7303,05;0;2014-05-18;1
No;No;32;No;DSL;One year;No;Mailed check; 30,15; 927,65;0;2017-08-30;0
No;No;43;Yes;Fiber optic;One year;No;Mailed check; 94,35;3921,30;0;2016-10-04;0
Yes;Yes;72;Yes;No;Two year;No;Automatic; 19,40;1363,25;0;2014-05-18;1
Yes;No;55;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 96,75;5238,90;1;2015-10-10;1
No;No;52;Yes;DSL;One year;No;Automatic; 57,95;3042,25;0;2016-01-08;1
No;No;43;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 91,65;3954,10;0;2016-10-04;1
Yes;No;37;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 76,50;2868,15;1;2017-04-02;1
Yes;Yes;64;No;DSL;Two year;Yes;Electronic check; 54,60;3423,50;0;2015-01-13;1
Yes;Yes; 3;Yes;Fiber optic;Month-to-month;No;Electronic check; 89,85; 248,40;0;2020-01-17;0
No;No;36;No;DSL;Two year;No;Automatic; 31,05;1126,35;0;2017-05-02;0
Yes;Yes;10;Yes;Fiber optic;Month-to-month;Yes;Electronic check;100,25;1064,65;1;2019-06-21;0
No;No;41;Yes;No;Two year;No;Mailed check; 20,65; 835,15;0;2016-12-03;1
Yes;Yes;27;Yes;Fiber optic;Month-to-month;Yes;Automatic; 85,20;2151,60;0;2018-01-27;1
Yes;Yes;56;Yes;Fiber optic;One year;Yes;Automatic; 99,80;5515,45;0;2015-09-10;0
No;No; 6;Yes;No;Month-to-month;No;Mailed check; 20,70; 112,75;0;2019-10-19;0
No;No; 3;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 74,40; 229,55;1;2020-01-17;1
Yes;Yes; 7;Yes;DSL;Month-to-month;No;Mailed check; 50,70; 350,35;0;2019-09-19;0
Yes;Yes; 4;Yes;No;Month-to-month;No;Mailed check; 20,85;  62,90;0;2019-12-18;1
No;No;33;Yes;Fiber optic;Two year;Yes;Electronic check; 88,95;3027,65;0;2017-07-31;1
No;No;27;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 78,05;2135,50;1;2018-01-27;0
Yes;No;72;Yes;No;Two year;Yes;Automatic; 23,55;1723,95;0;2014-05-18;0
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 19,75;  19,75;0;2020-03-17;0
No;No;71;No;DSL;One year;Yes;Electronic check; 56,45;3985,35;0;2014-06-17;1
No;No;13;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 85,95;1215,65;0;2019-03-23;0
Yes;Yes;25;No;DSL;Month-to-month;Yes;Automatic; 58,60;1502,65;1;2018-03-28;1
No;No;67;Yes;DSL;Two year;No;Automatic; 50,55;3260,10;0;2014-10-15;1
No;No; 1;No;DSL;Month-to-month;Yes;Electronic check; 35,45;  35,45;1;2020-03-17;0
No;No; 2;Yes;DSL;Month-to-month;No;Electronic check; 44,35;  81,25;1;2020-02-16;0
No;No;43;Yes;No;Two year;Yes;Automatic; 25,70;1188,20;0;2016-10-04;0
No;No;23;Yes;Fiber optic;Month-to-month;Yes;Automatic; 75,00;1778,50;0;2018-05-27;0
Yes;Yes;64;Yes;No;Two year;No;Mailed check; 20,20;1277,75;0;2015-01-13;1
No;Yes;57;Yes;No;Two year;Yes;Mailed check; 19,60;1170,55;0;2015-08-11;1
Yes;No; 1;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 70,45;  70,45;1;2020-03-17;0
Yes;Yes;72;Yes;DSL;Two year;Yes;Automatic; 88,05;6425,65;0;2014-05-18;0
No;No; 8;Yes;DSL;Month-to-month;No;Electronic check; 71,15; 563,65;1;2019-08-20;0
Yes;No;61;Yes;Fiber optic;Two year;Yes;Automatic;101,05;5971,25;0;2015-04-13;0
No;No;64;Yes;Fiber optic;One year;Yes;Automatic; 84,30;5289,05;0;2015-01-13;0
Yes;No;71;Yes;No;Two year;No;Automatic; 23,95;1756,20;0;2014-06-17;0
Yes;Yes;65;Yes;Fiber optic;Two year;Yes;Automatic; 99,05;6416,70;0;2014-12-14;1
No;No; 3;Yes;No;One year;No;Mailed check; 19,60;  61,35;0;2020-01-17;0
No;No; 1;Yes;DSL;Month-to-month;Yes;Electronic check; 45,65;  45,65;1;2020-03-17;0
No;Yes;30;Yes;DSL;One year;No;Automatic; 64,50;1929,95;0;2017-10-29;1
Yes;Yes;15;Yes;DSL;Month-to-month;Yes;Mailed check; 69,50;1071,40;0;2019-01-22;0
Yes;Yes; 8;Yes;DSL;Month-to-month;Yes;Electronic check; 68,55; 564,35;0;2019-08-20;0
No;No; 7;Yes;Fiber optic;Month-to-month;No;Mailed check; 95,00; 655,50;1;2019-09-19;0
Yes;Yes;70;Yes;Fiber optic;One year;Yes;Automatic;108,15;7930,55;0;2014-07-17;1
Yes;Yes;62;Yes;DSL;Two year;No;Electronic check; 86,10;5215,25;0;2015-03-14;0
Yes;Yes; 6;Yes;No;Month-to-month;No;Mailed check; 19,70; 113,50;0;2019-10-19;0
Yes;Yes;14;Yes;Fiber optic;Month-to-month;Yes;Automatic; 80,90;1152,80;0;2019-02-21;1
No;No;22;Yes;Fiber optic;Month-to-month;Yes;Automatic; 84,15;1821,95;0;2018-06-26;0
Yes;Yes;22;Yes;No;One year;No;Mailed check; 20,15; 419,90;0;2018-06-26;1
Yes;Yes;16;Yes;DSL;Two year;No;Mailed check; 64,25;1024,00;0;2018-12-23;0
No;No;10;Yes;No;Two year;No;Automatic; 25,70; 251,60;0;2019-06-21;1
No;Yes;13;Yes;DSL;Month-to-month;Yes;Electronic check; 56,00; 764,55;0;2019-03-23;1
Yes;No;20;Yes;Fiber optic;Month-to-month;No;Electronic check; 82,40;1592,35;1;2018-08-25;1
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 69,70; 135,20;0;2020-02-16;0
No;No;53;Yes;DSL;Two year;Yes;Automatic; 73,90;3958,25;0;2015-12-09;0
Yes;Yes;11;Yes;No;One year;No;Mailed check; 20,60; 233,90;0;2019-05-22;1
Yes;No;69;Yes;No;Two year;No;Mailed check; 19,90;1363,45;0;2014-08-16;0
No;No; 4;Yes;Fiber optic;Month-to-month;Yes;Automatic; 70,90; 273,00;1;2019-12-18;1
Yes;No;72;Yes;DSL;Two year;Yes;Automatic; 89,05;6254,45;0;2014-05-18;1
Yes;No;58;No;DSL;Month-to-month;Yes;Electronic check; 45,30;2651,20;1;2015-07-12;0
Yes;Yes;16;Yes;No;Month-to-month;No;Electronic check; 20,40; 321,40;0;2018-12-23;0
Yes;No;43;Yes;Fiber optic;One year;Yes;Automatic; 84,25;3539,25;0;2016-10-04;0
Yes;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check;104,40; 242,80;1;2020-02-16;1
Yes;No;14;Yes;DSL;Two year;No;Mailed check; 81,95;1181,75;0;2019-02-21;1
Yes;No;53;Yes;Fiber optic;One year;Yes;Automatic; 94,85;5000,20;1;2015-12-09;1
No;No;32;Yes;No;One year;No;Automatic; 20,55; 654,55;0;2017-08-30;0
Yes;No;34;Yes;No;Month-to-month;No;Electronic check; 24,70; 780,20;0;2017-07-01;1
No;No;15;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 74,45;1145,70;1;2019-01-22;0
No;No; 7;Yes;Fiber optic;Month-to-month;No;Automatic; 76,45; 503,60;1;2019-09-19;1
Yes;Yes;15;Yes;Fiber optic;Month-to-month;Yes;Automatic;105,35;1559,25;0;2019-01-22;1
Yes;No;61;Yes;No;One year;Yes;Automatic; 20,55;1252,00;0;2015-04-13;1
No;No; 1;No;DSL;Month-to-month;No;Automatic; 29,95;  29,95;1;2020-03-17;1
No;No; 1;Yes;DSL;Month-to-month;No;Mailed check; 45,30;  45,30;0;2020-03-17;0
No;No; 8;Yes;Fiber optic;Month-to-month;No;Automatic; 84,50; 662,65;1;2019-08-20;0
Yes;Yes;33;Yes;DSL;One year;No;Automatic; 74,75;2453,30;0;2017-07-31;0
No;No;13;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 79,25;1111,65;1;2019-03-23;1
Yes;No; 1;No;DSL;Month-to-month;Yes;Electronic check; 24,80;  24,80;1;2020-03-17;0
No;No;20;Yes;DSL;Month-to-month;Yes;Mailed check; 51,80;1023,85;0;2018-08-25;0
No;No; 3;No;DSL;Month-to-month;No;Electronic check; 30,40;  82,15;0;2020-01-17;1
No;No;13;Yes;No;One year;No;Electronic check; 19,65; 244,80;0;2019-03-23;1
Yes;No;40;Yes;DSL;Month-to-month;No;Automatic; 56,60;2379,10;0;2017-01-02;0
Yes;Yes;43;Yes;DSL;One year;Yes;Automatic; 71,90;3173,35;0;2016-10-04;1
Yes;No; 6;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 91,00; 531,00;1;2019-10-19;0
Yes;Yes;69;Yes;No;Two year;No;Automatic; 19,75;1375,40;0;2014-08-16;1
Yes;Yes;72;Yes;Fiber optic;Two year;No;Automatic;109,70;8129,30;0;2014-05-18;0
Yes;Yes;59;Yes;No;Two year;No;Automatic; 19,30;1192,70;0;2015-06-12;1
Yes;No;20;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 96,55;1901,65;0;2018-08-25;0
Yes;Yes;24;Yes;No;Two year;Yes;Automatic; 24,10; 587,40;0;2018-04-27;1
No;No;59;Yes;Fiber optic;Month-to-month;Yes;Electronic check;111,35;6519,75;0;2015-06-12;1
Yes;Yes;72;Yes;Fiber optic;Two year;Yes;Automatic;112,25;8041,65;0;2014-05-18;1
No;Yes; 1;Yes;No;Month-to-month;No;Mailed check; 20,75;  20,75;0;2020-03-17;0
Yes;No;27;Yes;Fiber optic;One year;Yes;Automatic;101,90;2681,15;0;2018-01-27;0
No;No;14;Yes;Fiber optic;Month-to-month;Yes;Automatic; 80,05;1112,30;0;2019-02-21;1
Yes;Yes;71;Yes;Fiber optic;Two year;No;Electronic check;105,55;7405,50;0;2014-06-17;0
No;Yes;13;Yes;Fiber optic;Month-to-month;Yes;Automatic; 78,30;1033,95;0;2019-03-23;1
No;No;44;Yes;Fiber optic;Month-to-month;No;Automatic; 68,85;2958,95;0;2016-09-04;0
No;No;33;Yes;Fiber optic;One year;Yes;Automatic; 79,95;2684,85;0;2017-07-31;0
Yes;Yes;72;No;DSL;Two year;Yes;Automatic; 55,45;4179,20;0;2014-05-18;1
No;No; 1;Yes;Fiber optic;Month-to-month;No;Electronic check; 79,90;  79,90;1;2020-03-17;0
No;No;19;Yes;Fiber optic;Month-to-month;Yes;Electronic check;106,60;1934,45;1;2018-09-24;1
Yes;No;64;Yes;Fiber optic;One year;Yes;Automatic;102,45;6654,10;0;2015-01-13;1
No;No; 2;Yes;DSL;Month-to-month;Yes;Automatic; 46,00;  84,50;1;2020-02-16;1
No;No; 1;No;DSL;Month-to-month;No;Electronic check; 25,25;  25,25;0;2020-03-17;0
No;Yes;61;Yes;No;Two year;No;Mailed check; 19,75;1124,20;0;2015-04-13;1
Yes;Yes;29;Yes;No;One year;No;Electronic check; 20,00; 540,05;0;2017-11-28;1
Yes;No;23;Yes;Fiber optic;Month-to-month;No;Electronic check; 86,80;1975,85;0;2018-05-27;0
Yes;No;57;No;DSL;Month-to-month;Yes;Automatic; 58,75;3437,45;0;2015-08-11;1
Yes;Yes;72;No;DSL;Two year;No;Automatic; 45,25;3139,80;0;2014-05-18;1
Yes;No;66;No;DSL;Two year;Yes;Automatic; 56,60;3789,20;0;2014-11-14;0
Yes;Yes;65;Yes;DSL;Two year;Yes;Automatic; 84,20;5324,50;0;2014-12-14;0
No;No; 8;Yes;Fiber optic;Month-to-month;Yes;Automatic; 80,00; 624,60;0;2019-08-20;0
No;No; 4;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 70,15; 268,35;1;2019-12-18;1
Yes;No;71;Yes;No;Two year;No;Automatic; 24,75;1836,90;0;2014-06-17;1
Yes;Yes; 1;Yes;No;One year;Yes;Electronic check; 20,20;  20,20;0;2020-03-17;0
Yes;No; 4;Yes;DSL;Month-to-month;No;Mailed check; 50,05; 179,35;1;2019-12-18;1
No;No;12;Yes;No;One year;Yes;Automatic; 19,35; 219,35;0;2019-04-22;1
No;No;24;No;DSL;One year;Yes;Mailed check; 50,60;1288,75;0;2018-04-27;0
Yes;Yes;31;Yes;DSL;One year;Yes;Mailed check; 81,15;2545,75;0;2017-09-29;0
Yes;No; 1;Yes;DSL;Month-to-month;No;Mailed check; 55,20;  55,20;1;2020-03-17;0
No;No;30;Yes;Fiber optic;Month-to-month;Yes;Automatic; 89,90;2723,15;0;2017-10-29;1
Yes;Yes;47;Yes;DSL;Two year;Yes;Automatic; 85,30;4107,25;0;2016-06-06;0
No;No;54;Yes;Fiber optic;Two year;Yes;Automatic;108,00;5760,65;0;2015-11-09;1
No;No;50;Yes;Fiber optic;Month-to-month;Yes;Automatic; 93,50;4747,50;0;2016-03-08;0
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 84,60;  84,60;1;2020-03-17;0
No;No;72;Yes;No;Two year;No;Automatic; 20,25;1566,90;0;2014-05-18;0
No;No;29;Yes;No;Month-to-month;No;Electronic check; 25,15; 702,00;0;2017-11-28;0
No;No; 2;Yes;DSL;Month-to-month;Yes;Mailed check; 54,40; 114,10;1;2020-02-16;1
No;No;10;No;DSL;Two year;Yes;Mailed check; 29,60; 299,05;0;2019-06-21;1
Yes;No;18;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 73,15;1305,95;0;2018-10-24;0
No;No;11;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 95,00;1120,30;1;2019-05-22;0
No;No;16;Yes;No;Two year;No;Mailed check; 19,75; 284,35;0;2018-12-23;0
No;No;72;Yes;DSL;Two year;No;Automatic; 86,60;6350,50;0;2014-05-18;1
No;No;72;Yes;Fiber optic;Two year;No;Automatic;109,20;7878,30;0;2014-05-18;1
Yes;Yes;41;Yes;DSL;One year;Yes;Automatic; 74,70;3187,65;0;2016-12-03;1
Yes;No;65;Yes;Fiber optic;Month-to-month;No;Electronic check; 94,40;6126,15;0;2014-12-14;1
No;No;13;Yes;DSL;Month-to-month;Yes;Electronic check; 54,80; 731,30;0;2019-03-23;1
No;No; 4;Yes;Fiber optic;Month-to-month;No;Electronic check; 75,35; 273,40;0;2019-12-18;0
No;No;41;Yes;DSL;One year;No;Mailed check; 65,00;2531,80;0;2016-12-03;1
No;No;15;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 74,40;1074,30;1;2019-01-22;0
No;No; 1;Yes;DSL;Month-to-month;Yes;Mailed check; 48,55;  48,55;1;2020-03-17;1
No;No;42;Yes;Fiber optic;One year;Yes;Electronic check; 99,00;4298,45;0;2016-11-03;0
Yes;No;51;Yes;Fiber optic;One year;Yes;Electronic check; 93,50;4619,55;0;2016-02-07;0
Yes;Yes; 2;Yes;Fiber optic;Month-to-month;No;Electronic check; 70,40; 147,15;1;2020-02-16;0
Yes;No; 1;No;DSL;Month-to-month;No;Electronic check; 40,20;  40,20;1;2020-03-17;1
No;Yes;32;Yes;DSL;One year;No;Automatic; 83,70;2633,30;0;2017-08-30;0
No;No;10;Yes;No;Month-to-month;Yes;Mailed check; 19,85; 193,05;0;2019-06-21;1
Yes;Yes;67;No;DSL;Two year;Yes;Electronic check; 59,55;4103,90;0;2014-10-15;0
Yes;Yes;61;Yes;Fiber optic;Two year;No;Automatic;115,10;7008,15;0;2015-04-13;0
No;No;50;Yes;Fiber optic;One year;No;Automatic;114,35;5791,10;0;2016-03-08;0
Yes;No; 2;Yes;DSL;Month-to-month;Yes;Automatic; 44,60;  80,55;1;2020-02-16;0
Yes;No;29;No;DSL;Month-to-month;Yes;Electronic check; 45,00;1228,65;0;2017-11-28;0
No;No; 3;No;DSL;Month-to-month;Yes;Electronic check; 41,15; 132,20;1;2020-01-17;0
No;No;13;Yes;Fiber optic;Month-to-month;Yes;Electronic check;106,90;1364,30;1;2019-03-23;1
Yes;No;57;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 89,85;4925,35;0;2015-08-11;1
No;No;31;No;DSL;Two year;Yes;Automatic; 49,85;1520,10;0;2017-09-29;0
Yes;No;45;Yes;Fiber optic;One year;No;Mailed check;113,30;5032,25;0;2016-08-05;1
Yes;Yes;61;Yes;DSL;Two year;No;Mailed check; 88,10;5526,75;0;2015-04-13;0
No;No;50;Yes;No;Two year;No;Automatic; 24,90;1195,25;0;2016-03-08;1
No;No;19;Yes;Fiber optic;Month-to-month;Yes;Mailed check;105,00;2007,25;0;2018-09-24;0
No;No;59;Yes;No;Two year;No;Mailed check; 19,35;1099,60;1;2015-06-12;0
