customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Date
4183-MYFRB;Female;No;No;No;21;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check; 90,05;1862,90;0;2018-07-26
8779-QRDMV;Male;Yes;No;No; 1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check; 39,65;  39,65;1;2020-03-17
1680-VDCWW;Male;No;Yes;No;12;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Automatic; 19,80; 202,25;0;2019-04-22
1066-JKSGK;Male;No;No;No; 1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; 20,15;  20,15;1;2020-03-17
3638-WEABW;Female;No;Yes;No;58;Yes;Yes;DSL;No;Yes;No;Yes;No;No;Two year;Yes;Automatic; 59,90;3505,10;0;2015-07-12
6322-HRPFA;Male;No;Yes;Yes;49;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Month-to-month;No;Automatic; 59,60;2970,30;0;2016-04-07
6865-JZNKO;Female;No;No;No;30;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Automatic; 55,30;1530,60;0;2017-10-29
6467-CHFZW;Male;No;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check; 99,35;4749,15;1;2016-06-06
8665-UTDHZ;Male;No;Yes;Yes; 1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check; 30,20;  30,20;1;2020-03-17
5248-YGIJN;Male;No;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Automatic; 90,25;6369,45;0;2014-05-18
8773-HHUOZ;Female;No;No;Yes;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check; 64,70;1093,10;1;2018-11-23
3841-NFECX;Female;Yes;Yes;No;71;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Automatic; 96,35;6766,95;0;2014-06-17
4929-XIHVW;Male;Yes;Yes;No; 2;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Automatic; 95,50; 181,65;0;2020-02-16
6827-IEAUQ;Female;No;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check; 66,15;1874,45;0;2018-01-27
7310-EGVHZ;Male;No;No;No; 1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Automatic; 20,20;  20,20;0;2020-03-17
3413-BMNZE;Male;Yes;No;No; 1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Automatic; 45,25;  45,25;0;2020-03-17
6234-RAAPL;Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;No;Automatic; 99,90;7251,70;0;2014-05-18
6047-YHPVI;Male;No;No;No; 5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; 69,70; 316,90;1;2019-11-18
6572-ADKRS;Female;No;No;No;46;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Automatic; 74,80;3548,30;0;2016-07-06
5380-WJKOV;Male;No;No;No;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,35;3549,25;1;2017-07-01
8168-UQWWF;Female;No;No;No;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Automatic; 97,85;1105,40;1;2019-05-22
8865-TNMNX;Male;No;Yes;Yes;10;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Mailed check; 49,55; 475,70;0;2019-06-21
9489-DEDVP;Female;No;Yes;Yes;70;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;Two year;Yes;Automatic; 69,20;4872,35;0;2014-07-17
9867-JCZSP;Female;No;Yes;Yes;17;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check; 20,75; 418,25;0;2018-11-23
4671-VJLCL;Female;No;No;No;63;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Automatic; 79,85;4861,45;0;2015-02-12
4080-IIARD;Female;No;Yes;No;13;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check; 76,20; 981,45;0;2019-03-23
3714-NTNFO;Female;No;No;No;49;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check; 84,50;3906,70;0;2016-04-07
5948-UJZLF;Male;No;No;No; 2;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Mailed check; 49,25;  97,00;0;2020-02-16
7760-OYPDY;Female;No;No;No; 2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check; 80,65; 144,15;1;2020-02-16
7639-LIAYI;Male;No;No;No;52;Yes;Yes;DSL;Yes;No;No;Yes;Yes;Yes;Two year;Yes;Automatic; 79,75;4217,80;0;2016-01-08
2954-PIBKO;Female;No;Yes;Yes;69;Yes;Yes;DSL;Yes;No;Yes;Yes;No;No;Two year;Yes;Automatic; 64,15;4254,10;0;2014-08-16
8012-SOUDQ;Female;Yes;No;No;43;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check; 90,25;3838,75;0;2016-10-04
9420-LOJKX;Female;No;No;No;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Automatic; 99,10;1426,40;1;2019-01-22
6575-SUVOI;Female;Yes;Yes;No;25;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Month-to-month;Yes;Automatic; 69,50;1752,65;0;2018-03-28
7495-OOKFY;Female;Yes;Yes;No; 8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Automatic; 80,65; 633,30;1;2019-08-20
4667-QONEA;Female;Yes;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Automatic; 74,85;4456,35;0;2015-05-13
1658-BYGOY;Male;Yes;No;No;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check; 95,45;1752,55;1;2018-10-24
8769-KKTPH;Female;No;Yes;Yes;63;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;One year;Yes;Automatic; 99,65;6311,20;0;2015-02-12
5067-XJQFU;Male;Yes;Yes;Yes;66;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;108,45;7076,35;0;2014-11-14
3957-SQXML;Female;No;Yes;Yes;34;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Automatic; 24,95; 894,30;0;2017-07-01
5954-BDFSG;Female;No;No;No;72;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Automatic;107,50;7853,70;0;2014-05-18
0434-CSFON;Female;No;Yes;No;47;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,50;4707,10;0;2016-06-06
1215-FIGMP;Male;No;No;No;60;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Automatic; 89,90;5450,70;0;2015-05-13
0526-SXDJP;Male;No;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Two year;No;Automatic; 42,10;2962,00;0;2014-05-18
0557-ASKVU;Female;No;Yes;Yes;18;Yes;No;DSL;No;No;Yes;Yes;No;No;One year;Yes;Automatic; 54,40; 957,10;0;2018-10-24
5698-BQJOH;Female;No;No;No; 9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check; 94,40; 857,25;1;2019-07-21
5122-CYFXA;Female;No;No;No; 3;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check; 75,30; 244,10;0;2020-01-17
8627-ZYGSZ;Male;No;Yes;No;47;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;One year;Yes;Electronic check; 78,90;3650,35;0;2016-06-06
3410-YOQBQ;Female;No;No;No;31;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check; 79,20;2497,20;0;2017-09-29
3170-NMYVV;Female;No;Yes;Yes;50;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Automatic; 20,15; 930,90;0;2016-03-08
7410-OIEDU;Male;No;No;No;10;Yes;No;Fiber optic;Yes;No;Yes;No;No;No;Month-to-month;Yes;Mailed check; 79,85; 887,35;0;2019-06-21
2273-QCKXA;Male;No;No;No; 1;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check; 49,05;  49,05;0;2020-03-17
0731-EBJQB;Female;No;Yes;Yes;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Electronic check; 20,40;1090,65;0;2016-01-08
1891-QRQSA;Male;Yes;Yes;Yes;64;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Automatic;111,60;7099,00;0;2015-01-13
8028-PNXHQ;Male;No;Yes;Yes;62;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Automatic; 24,25;1424,60;0;2015-03-14
5630-AHZIL;Female;No;No;Yes; 3;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Automatic; 64,50; 177,40;0;2020-01-17
2673-CXQEU;Female;Yes;No;No;56;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;No;Electronic check;110,50;6139,50;0;2015-09-10
6416-JNVRK;Female;No;No;No;46;Yes;No;DSL;No;No;No;No;No;Yes;One year;No;Automatic; 55,65;2688,85;0;2016-07-06
5590-ZSKRV;Female;No;Yes;Yes; 8;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check; 54,65; 482,25;0;2019-08-20
0191-ZHSKZ;Male;Yes;No;No;30;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check; 74,75;2111,30;0;2017-10-29
3887-PBQAO;Female;No;Yes;Yes;45;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Automatic; 25,90;1216,60;0;2016-08-05
5919-TMRGD;Female;No;No;Yes; 1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check; 79,35;  79,35;1;2020-03-17
8108-UXRQN;Female;No;Yes;Yes;11;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;No;Electronic check; 50,55; 565,35;0;2019-05-22
9191-MYQKX;Female;No;Yes;No; 7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Automatic; 75,15; 496,90;1;2019-09-19
9919-YLNNG;Female;No;No;No;42;Yes;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Automatic;103,80;4327,50;0;2016-11-03
0318-ZOPWS;Female;No;Yes;No;49;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Automatic; 20,15; 973,35;0;2016-04-07
4445-ZJNMU;Male;No;No;No; 9;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Automatic; 99,30; 918,75;0;2019-07-21
4808-YNLEU;Female;No;Yes;No;35;Yes;No;DSL;Yes;No;No;No;Yes;No;One year;Yes;Automatic; 62,15;2215,45;0;2017-06-01
1862-QRWPE;Female;No;Yes;Yes;48;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Automatic; 20,65;1057,00;0;2016-05-07
2796-NNUFI;Female;No;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check; 19,95; 927,10;0;2016-07-06
3016-KSVCP;Male;No;Yes;No;29;No;No phone service;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check; 33,75;1009,25;0;2017-11-28
4767-HZZHQ;Male;No;Yes;Yes;30;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;No;Automatic; 82,05;2570,20;0;2017-10-29
2424-WVHPL;Male;Yes;No;No; 1;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;No;Electronic check; 74,70;  74,70;0;2020-03-17
7233-PAHHL;Male;No;Yes;Yes;66;Yes;Yes;DSL;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Mailed check; 84,00;5714,25;0;2014-11-14
6067-NGCEU;Female;No;No;No;65;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Automatic;111,05;7107,00;0;2014-12-14
9848-JQJTX;Male;No;No;No;72;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Automatic;100,90;7459,05;0;2014-05-18
8637-XJIVR;Female;No;No;No;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check; 78,95; 927,35;1;2019-04-22
9803-FTJCG;Male;No;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;No;Yes;No;No;One year;Yes;Automatic; 66,85;4748,70;0;2014-06-17
0278-YXOOG;Male;No;No;No; 5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; 21,05; 113,85;1;2019-11-18
3212-KXOCR;Male;No;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Automatic; 21,00;1107,20;0;2016-01-08
4598-XLKNJ;Female;Yes;Yes;No;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check; 98,50;2514,50;1;2018-03-28
6380-ARCEH;Male;No;No;No; 1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; 20,20;  20,20;0;2020-03-17
3679-XASPY;Female;No;Yes;Yes; 1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check; 19,45;  19,45;0;2020-03-17
7123-WQUHX;Male;No;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Automatic; 95,00;3605,60;0;2017-03-03
5386-THSLQ;Female;Yes;Yes;No;66;No;No phone service;DSL;No;Yes;Yes;No;Yes;No;One year;No;Automatic; 45,55;3027,25;0;2014-11-14
3192-NQECA;Male;No;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Automatic;110,00;7611,85;1;2014-09-15
6180-YBIQI;Male;No;No;No; 5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check; 24,30; 100,20;0;2019-11-18
6728-DKUCO;Female;No;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check;104,15;7303,05;0;2014-05-18
9750-BOOHV;Female;No;No;No;32;No;No phone service;DSL;Yes;No;No;No;No;No;One year;No;Mailed check; 30,15; 927,65;0;2017-08-30
8597-CWYHH;Male;No;No;No;43;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;One year;No;Mailed check; 94,35;3921,30;0;2016-10-04
2848-YXSMW;Male;No;Yes;Yes;72;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Automatic; 19,40;1363,25;0;2014-05-18
0486-HECZI;Male;No;Yes;No;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check; 96,75;5238,90;1;2015-10-10
4549-ZDQYY;Female;No;No;No;52;Yes;No;DSL;Yes;No;Yes;Yes;No;No;One year;No;Automatic; 57,95;3042,25;0;2016-01-08
5712-AHQNN;Female;No;No;No;43;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check; 91,65;3954,10;0;2016-10-04
4846-WHAFZ;Female;Yes;Yes;No;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; 76,50;2868,15;1;2017-04-02
5256-SKJGO;Female;No;Yes;Yes;64;No;No phone service;DSL;No;Yes;No;Yes;Yes;Yes;Two year;Yes;Electronic check; 54,60;3423,50;0;2015-01-13
3071-VBYPO;Male;No;Yes;Yes; 3;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check; 89,85; 248,40;0;2020-01-17
9560-BBZXK;Female;No;No;No;36;No;No phone service;DSL;Yes;No;No;No;No;No;Two year;No;Automatic; 31,05;1126,35;0;2017-05-02
5299-RULOA;Female;No;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,25;1064,65;1;2019-06-21
8402-OOOHJ;Female;No;No;No;41;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check; 20,65; 835,15;0;2016-12-03
9445-ZUEQE;Male;No;Yes;Yes;27;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Automatic; 85,20;2151,60;0;2018-01-27
1091-SOZGA;Female;No;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Automatic; 99,80;5515,45;0;2015-09-10
2928-HLDBA;Female;No;No;No; 6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; 20,70; 112,75;0;2019-10-19
0404-SWRVG;Male;No;No;No; 3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; 74,40; 229,55;1;2020-01-17
6497-TILVL;Female;No;Yes;Yes; 7;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Mailed check; 50,70; 350,35;0;2019-09-19
7219-TLZHO;Female;No;Yes;Yes; 4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; 20,85;  62,90;0;2019-12-18
4622-YNKIJ;Male;No;No;No;33;Yes;No;Fiber optic;Yes;No;No;Yes;Yes;No;Two year;Yes;Electronic check; 88,95;3027,65;0;2017-07-31
4412-YLTKF;Female;Yes;No;No;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check; 78,05;2135,50;1;2018-01-27
6734-PSBAW;Male;No;Yes;No;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Automatic; 23,55;1723,95;0;2014-05-18
3930-ZGWVE;Male;No;No;No; 1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; 19,75;  19,75;0;2020-03-17
2639-UGMAZ;Male;Yes;No;No;71;No;No phone service;DSL;Yes;Yes;No;No;Yes;Yes;One year;Yes;Electronic check; 56,45;3985,35;0;2014-06-17
2876-GZYZC;Female;No;No;No;13;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check; 85,95;1215,65;0;2019-03-23
6207-WIOLX;Female;No;Yes;Yes;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Automatic; 58,60;1502,65;1;2018-03-28
8587-XYZSF;Male;No;No;No;67;Yes;No;DSL;No;No;No;Yes;No;No;Two year;No;Automatic; 50,55;3260,10;0;2014-10-15
3091-FYHKI;Male;No;No;No; 1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check; 35,45;  35,45;1;2020-03-17
2372-HWUHI;Male;No;No;No; 2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check; 44,35;  81,25;1;2020-02-16
7799-LGRDP;Female;No;No;No;43;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Automatic; 25,70;1188,20;0;2016-10-04
7850-VWJUU;Female;No;No;No;23;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Automatic; 75,00;1778,50;0;2018-05-27
3774-VBNXY;Female;No;Yes;Yes;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check; 20,20;1277,75;0;2015-01-13
6217-KDYWC;Male;No;No;Yes;57;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check; 19,60;1170,55;0;2015-08-11
0390-DCFDQ;Female;Yes;Yes;No; 1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check; 70,45;  70,45;1;2020-03-17
3146-MSEGF;Female;Yes;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Automatic; 88,05;6425,65;0;2014-05-18
4080-OGPJL;Female;No;No;No; 8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check; 71,15; 563,65;1;2019-08-20
1095-WGNGG;Female;No;Yes;No;61;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Two year;Yes;Automatic;101,05;5971,25;0;2015-04-13
2636-SJDOU;Male;No;No;No;64;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;One year;Yes;Automatic; 84,30;5289,05;0;2015-01-13
1131-QQZEB;Male;Yes;Yes;No;71;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Automatic; 23,95;1756,20;0;2014-06-17
5716-EZXZN;Female;No;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Automatic; 99,05;6416,70;0;2014-12-14
6837-BJYDQ;Male;No;No;No; 3;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check; 19,60;  61,35;0;2020-01-17
2135-RXIHG;Male;No;No;No; 1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check; 45,65;  45,65;1;2020-03-17
6440-DKQGE;Male;No;No;Yes;30;Yes;No;DSL;No;Yes;Yes;No;Yes;No;One year;No;Automatic; 64,50;1929,95;0;2017-10-29
3466-BYAVD;Male;No;Yes;Yes;15;Yes;No;DSL;No;Yes;Yes;Yes;No;Yes;Month-to-month;Yes;Mailed check; 69,50;1071,40;0;2019-01-22
3780-YVMFA;Female;No;Yes;Yes; 8;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check; 68,55; 564,35;0;2019-08-20
3874-EQOEP;Male;No;No;No; 7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check; 95,00; 655,50;1;2019-09-19
1679-JRFBR;Female;No;Yes;Yes;70;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Automatic;108,15;7930,55;0;2014-07-17
9073-ZZIAY;Male;No;Yes;Yes;62;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Electronic check; 86,10;5215,25;0;2015-03-14
3077-RSNTJ;Female;No;Yes;Yes; 6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check; 19,70; 113,50;0;2019-10-19
6551-GNYDG;Female;No;Yes;Yes;14;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Automatic; 80,90;1152,80;0;2019-02-21
9167-APMXZ;Female;No;No;No;22;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Automatic; 84,15;1821,95;0;2018-06-26
